DMS结算订单,DMS行唯一ID,DMS行下层明细ID,DMS参考订单号码,DMS订单行号,工厂,DRP订单金额,DRP/LTC折扣金额,SD 凭证,交货,开票凭证,处理日期,处理时间,消息文本,信息类型,DMS收入确认回传,消息文本.1
ZRTC20260407044,1-7O45EF,QC@76223600,12064553,HLB-b35d60c3-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223601,12064553,HLB-b35d6119-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.56,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223504,12064553,HLB-b35d6320-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223506,12064553,HLB-b35d6408-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223509,12064553,HLB-b35d63d1-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223518,12064553,HLB-b35d63ed-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223526,12064553,HLB-b35d63b1-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223532,12064553,HLB-b35d62ee-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223539,12064553,HLB-b35d6286-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223543,12064553,HLB-b35d6395-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
